,EGKK,EDDM,EDDF,EHAM,EGLL,LFPG,LIRF,EIDW,LEBL,LEMD
EGKK,0,1,0,0,0,1,0,0,0,0
EDDM,1,0,0,0,0,1,0,0,1,0
EDDF,0,0,0,1,0,0,0,0,0,0
EHAM,0,1,0,0,0,1,0,0,0,0
EGLL,0,1,1,0,0,1,1,0,1,0
LFPG,0,0,1,1,0,0,1,1,0,0
LIRF,0,0,0,0,0,0,0,0,0,0
EIDW,0,0,0,0,1,0,0,0,1,0
LEBL,0,1,0,0,0,0,1,0,0,1
LEMD,0,1,0,0,0,0,1,0,0,0
