,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1
LFPG,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1
EHAM,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0
EDDF,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
LEMD,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0
LEBL,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0
EDDM,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1
EGKK,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0
LIRF,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0
EIDW,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1
LATI,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0
LQSA,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1
LBSF,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1
LBBG,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
LDZA,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
LDSP,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1
LDDU,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
BKPR,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0
LYTV,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0
LWSK,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0
