source,target,best_lag,p_value
LYTV,LWSK,5,0.24988386125600193
LYTV,LQSA,6,1.938789228638473e-05
LYTV,LBSF,8,0.006292656544212581
LYTV,LDDU,1,0.19891371793462925
LYTV,LATI,4,0.08755652606267193
LYTV,BKPR,5,0.06531856271106921
LYTV,LDSP,7,0.00037081298864378477
LYTV,LBBG,5,0.11136302848623354
LYTV,LDZA,7,0.21909052225965134
LWSK,LYTV,2,0.009592337558305882
LWSK,LQSA,6,6.757689937134712e-07
LWSK,LBSF,3,0.0027100542020698135
LWSK,LDDU,7,0.04645088782423989
LWSK,LATI,1,0.00010239614417569035
LWSK,BKPR,2,0.00024178849454337183
LWSK,LDSP,8,0.013074877163419867
LWSK,LBBG,2,5.17686253927752e-07
LWSK,LDZA,1,0.0005376006253201212
LQSA,LYTV,8,0.1756736650531351
LQSA,LWSK,6,4.227118640569091e-06
LQSA,LBSF,8,0.00015340938280025712
LQSA,LDDU,7,0.00042680162424803725
LQSA,LATI,7,4.741663016960961e-07
LQSA,BKPR,5,0.0002865816308300831
LQSA,LDSP,6,8.601927818282637e-07
LQSA,LBBG,8,0.02904927196737189
LQSA,LDZA,7,1.3248183923253836e-12
LBSF,LYTV,1,0.05563999723032571
LBSF,LWSK,3,0.07075789516185042
LBSF,LQSA,1,0.6458574804460272
LBSF,LDDU,5,0.18257094685710276
LBSF,LATI,7,0.007286962013805548
LBSF,BKPR,1,0.022592586574271403
LBSF,LDSP,3,0.004840244211426575
LBSF,LBBG,1,0.024032411809910875
LBSF,LDZA,6,0.015027817263001161
LDDU,LYTV,3,0.388276055786253
LDDU,LWSK,2,0.007058300140468218
LDDU,LQSA,1,0.068774694331166
LDDU,LBSF,3,0.0004233814276886387
LDDU,LATI,6,7.300461866624114e-09
LDDU,BKPR,4,3.317725479453196e-05
LDDU,LDSP,1,1.7577953628697121e-09
LDDU,LBBG,4,0.015551452426883893
LDDU,LDZA,3,3.9873885193916854e-09
LATI,LYTV,3,0.025717985812055776
LATI,LWSK,4,0.019654964982967732
LATI,LQSA,5,0.3256562024826283
LATI,LBSF,2,0.004766663935335214
LATI,LDDU,3,0.03559681444635744
LATI,BKPR,7,0.22512414395253738
LATI,LDSP,6,0.24443102876740536
LATI,LBBG,1,0.008247361508073111
LATI,LDZA,1,0.012993884694643586
BKPR,LYTV,2,0.004292586616648904
BKPR,LWSK,5,0.00034042115087957905
BKPR,LQSA,3,0.13210871569285473
BKPR,LBSF,4,5.0712931354676586e-05
BKPR,LDDU,8,0.004576263160362584
BKPR,LATI,8,0.00018439132251488993
BKPR,LDSP,7,0.00020322111949487343
BKPR,LBBG,3,0.008355100381566165
BKPR,LDZA,1,2.8980997334962405e-05
LDSP,LYTV,7,0.40756049053611104
LDSP,LWSK,4,9.625870218322288e-08
LDSP,LQSA,3,0.04834433720808323
LDSP,LBSF,4,0.00011501703385323234
LDSP,LDDU,2,0.03491643534847885
LDSP,LATI,3,1.789367726982647e-12
LDSP,BKPR,3,4.539982669503195e-05
LDSP,LBBG,2,0.0007812044157349993
LDSP,LDZA,3,1.3335951783991946e-09
LBBG,LYTV,1,0.01093377789964558
LBBG,LWSK,5,0.01131999089376618
LBBG,LQSA,6,0.0019311068850657725
LBBG,LBSF,1,0.19485055873031482
LBBG,LDDU,3,0.6034315540552847
LBBG,LATI,3,0.18037733821603705
LBBG,BKPR,8,0.11682328419857718
LBBG,LDSP,1,0.07569273499197728
LBBG,LDZA,1,0.003587453138496913
LDZA,LYTV,6,0.3254523730913743
LDZA,LWSK,7,0.025570860671481132
LDZA,LQSA,5,0.4222674200611731
LDZA,LBSF,6,0.014254831218267348
LDZA,LDDU,5,0.31749324614781294
LDZA,LATI,1,9.786443019420464e-05
LDZA,BKPR,6,0.07772206468375828
LDZA,LDSP,2,0.013051054953871011
LDZA,LBBG,1,0.0322244986809371
