,EHAM,LEBL,EGLL,EGKK,LFPG,LIRF,EDDF,LEMD,EIDW,EDDM
EHAM,0,1,1,1,1,1,1,0,1,1
LEBL,0,0,1,0,0,0,0,1,1,0
EGLL,0,1,0,1,1,0,0,1,0,1
EGKK,0,0,0,0,0,0,0,1,0,0
LFPG,1,1,1,1,0,0,1,1,1,1
LIRF,0,1,0,1,1,0,0,0,1,1
EDDF,0,1,1,1,1,1,0,1,1,1
LEMD,0,0,1,0,0,0,0,0,1,1
EIDW,0,1,1,0,1,0,0,1,0,0
EDDM,1,1,1,1,1,1,1,1,1,0
