,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1
LFPG,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1
EHAM,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1
EDDF,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
LEMD,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
LEBL,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
EDDM,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0
EGKK,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1
LIRF,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1
EIDW,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1
LATI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LQSA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LBSF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LBBG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LDZA,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0
LDSP,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LDDU,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
BKPR,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LYTV,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
LWSK,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
