,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0
LFPG,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1
EHAM,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1
EDDF,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0
LEMD,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1
LEBL,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1
EDDM,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1
EGKK,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0
LIRF,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1
EIDW,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0
LATI,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
LQSA,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1
LBSF,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1
LBBG,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0
LDZA,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
LDSP,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1
LDDU,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1
BKPR,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1
LYTV,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1
LWSK,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0
