,EDDF,LIRF,LEMD,LFPG,EIDW,EGKK,EGLL,EDDM,EHAM,LEBL
EDDF,0,1,0,0,1,1,1,0,1,0
LIRF,0,0,1,1,1,1,1,0,1,1
LEMD,1,1,0,1,0,1,1,0,1,1
LFPG,1,0,1,0,1,1,1,1,1,1
EIDW,0,0,1,1,0,1,1,0,1,0
EGKK,0,0,1,0,1,0,1,0,0,1
EGLL,1,1,1,1,1,1,0,0,1,1
EDDM,0,1,1,1,1,1,1,0,0,1
EHAM,0,0,1,1,1,1,1,0,0,1
LEBL,1,0,1,0,0,1,0,0,0,0
