,EHAM,LEBL,EGLL,EGKK,LFPG,LIRF,EDDF,LEMD,EIDW,EDDM
EHAM,0,0,1,1,0,0,0,1,1,0
LEBL,0,0,1,1,1,1,1,1,1,1
EGLL,0,1,0,1,1,0,0,1,0,0
EGKK,0,1,1,0,0,1,0,1,1,0
LFPG,1,1,1,1,0,0,0,1,1,1
LIRF,1,0,1,1,1,0,0,1,0,0
EDDF,0,1,0,1,0,0,0,0,1,1
LEMD,0,0,1,1,0,1,0,0,0,0
EIDW,1,1,1,1,0,0,0,1,0,0
EDDM,0,1,0,1,1,0,0,1,1,0
