airport,distribution,n_samples,log_likelihood,aic,ks_statistic,p_value,parameters,data_support,units
LBBG,normal,22711,-96363.26928000973,192730.53856001946,0.09013928440751195,5.08144541809428e-161,"(np.float64(0.16261870165705317), np.float64(16.845495956161102))",signed,minutes
LBBG,nct,22711,-91647.31125342648,183302.62250685296,0.0037676380712639013,0.9026060424180559,"(np.float64(3.8343471816431536), np.float64(0.5969711798109497), np.float64(-7.6112037008508615), np.float64(10.222848602133942))",signed,minutes
LBBG,lognorm,10507,-36480.1649787935,72966.329957587,0.029523586222308773,2.1690521078240018e-08,"(np.float64(0.9391622922056125), -0.8469985907263423, np.float64(8.296346316551181))",positive,minutes
LBBG,gamma,10507,-103587.67509174257,207181.35018348513,0.9602495383043306,0.0,"(np.float64(0.01129359100352913), np.float64(0.016666666666666663), np.float64(3.328866949234677))",positive,minutes
LBBG,burr12,10507,-36250.695395905874,72509.39079181175,0.012677164735875879,0.06770717626227063,"(np.float64(1.1359842772184459), np.float64(4.8486449408069054), np.float64(0.01234852299197238), np.float64(40.60163087261822))",positive,minutes
LBBG,gengamma,10507,-36333.218829473306,72674.43765894661,0.02156806341803391,0.00011196115616509042,"(np.float64(1.984619389329449), np.float64(0.6715643272278595), np.float64(-0.0019621582691756977), np.float64(3.6191429146661096))",positive,minutes
LBBG,lomax,10507,-36310.391427619936,72626.78285523987,0.03863078081719218,4.636008140146993e-14,"(np.float64(11.576329960109941), np.float64(0.01666666666656655), np.float64(121.04548243201506))",positive,minutes
LBBG,invgauss,10507,-36524.990301685175,73055.98060337035,0.029769081985604684,1.5970073924015884e-08,"(np.float64(1.0187730340761478), np.float64(-1.5177920052264855), np.float64(13.078575136396129))",positive,minutes
LBBG,expon,10507,-36430.086080835696,72864.17216167139,0.02504259188182456,3.713079919565921e-06,"(0.016666666666666666, 11.789632308619648)",positive,minutes
