Unnamed: 0,distribution,aic,ks_statistic,p_value,parameters
0.0,normal,378703.85726527165,0.0901392844075119,5.08144541809428e-161,"(np.float64(9.757122099423187), np.float64(1010.7297573696659))"
1.0,nct,369275.9412887097,0.0037570722592591,0.9044033430859234,"(np.float64(3.834928401133144), np.float64(0.5970247548406729), np.float64(-456.71984557463935), np.float64(613.4141326347627))"
2.0,lognorm,inf,0.0684099934918331,7.364661976550814e-93,"(np.float64(0.06553492827078604), np.float64(-14277.83908291216), np.float64(14257.06436606479))"
3.0,gamma,inf,0.9977527359368884,0.0,"(np.float64(0.0005528526494316781), np.float64(-3069.000000000001), np.float64(6.915498041913443))"
,burr12,585628.1130975196,0.6219525707709271,0.0,"(np.float64(91.04966067335849), np.float64(0.0015912428427846863), np.float64(-21198.07819122591), np.float64(21.29332204275689))"
,gengamma,530906.6040085361,0.9999559684734269,0.0,"(np.float64(0.0002740047229713523), np.float64(-3010.3261916980246), np.float64(-27790.352100233096), np.float64(6004.6150987261535))"
,lomax,586764.7183575644,0.6263259343629478,0.0,"(np.float64(0.16205200673719555), np.float64(-23985.697680074474), np.float64(46.78849885105575))"
,invgauss,inf,0.7558170999718545,0.0,"(np.float64(20.151857065351038), np.float64(-10226.51496475417), np.float64(982.1777039373833))"
,expon,497084.63725168357,0.5859018523718822,0.0,"(-20809.0, 20818.75712209942)"
