,LYTV,LBBG,LQSA,LDDU,LDZA,BKPR,LBSF,LWSK,LATI,LDSP
LYTV,0,0,1,0,1,0,0,0,1,0
LBBG,1,0,0,1,1,0,0,0,0,1
LQSA,1,0,0,0,1,1,0,0,1,1
LDDU,0,0,0,0,0,0,0,1,1,0
LDZA,0,0,1,0,0,0,0,0,0,0
BKPR,0,1,1,0,1,0,0,0,1,0
LBSF,0,0,1,0,1,0,0,0,0,0
LWSK,0,0,1,0,0,0,0,0,1,0
LATI,0,1,0,0,0,0,0,0,0,0
LDSP,0,0,0,0,0,0,0,0,0,0
