source,target,best_lag,p_value
LQSA,LATI,6,1.6439522129590094e-06
LQSA,LBSF,6,2.1013881193969837e-06
LQSA,LDZA,6,5.4154109478505905e-09
LQSA,LDSP,2,0.0001002540834396653
LQSA,LDDU,4,8.6650771614535e-07
LQSA,LYTV,1,0.000390657022935226
LQSA,LWSK,5,1.7637175121411547e-05
LQSA,LBBG,6,1.2653384818415176e-05
LQSA,BKPR,7,0.001010666934937848
LATI,LQSA,7,0.0013526285516347533
LATI,LBSF,4,7.094601460028816e-08
LATI,LDZA,2,0.0004208155019177994
LATI,LDSP,5,1.1658146902323747e-07
LATI,LDDU,1,0.0001497114538909713
LATI,LYTV,8,0.028359412169093903
LATI,LWSK,4,1.4010451417765392e-08
LATI,LBBG,1,3.921480070241683e-05
LATI,BKPR,3,2.0248361761894665e-05
LBSF,LQSA,8,0.010953261620833554
LBSF,LATI,2,1.948610248387413e-05
LBSF,LDZA,1,0.0002760726245729617
LBSF,LDSP,8,0.03792993459034153
LBSF,LDDU,1,0.26086976535808404
LBSF,LYTV,1,0.2017690002756761
LBSF,LWSK,1,0.003457197261814958
LBSF,LBBG,3,0.0003086437463908776
LBSF,BKPR,1,0.1983285468543099
LDZA,LQSA,7,0.007247612215245392
LDZA,LATI,1,4.05525406213459e-07
LDZA,LBSF,1,4.433226304083954e-08
LDZA,LDSP,1,6.044271255590949e-08
LDZA,LDDU,2,0.022853427809389745
LDZA,LYTV,7,2.7246396652898498e-05
LDZA,LWSK,4,5.095473678440101e-06
LDZA,LBBG,3,0.003366701199530014
LDZA,BKPR,1,0.0023373999374929175
LDSP,LQSA,8,5.859486270251559e-10
LDSP,LATI,2,3.269636845815542e-08
LDSP,LBSF,3,4.781757227360734e-06
LDSP,LDZA,2,5.534498916334203e-10
LDSP,LDDU,1,1.0261978623888456e-06
LDSP,LYTV,1,0.02232678853148023
LDSP,LWSK,7,2.657268573745722e-13
LDSP,LBBG,1,0.00023964749603460882
LDSP,BKPR,1,1.1453034753708296e-08
LDDU,LQSA,1,0.03503733955976919
LDDU,LATI,2,1.4163070518387282e-05
LDDU,LBSF,6,2.7216639022571417e-06
LDDU,LDZA,2,2.615302031144962e-06
LDDU,LDSP,1,2.9969566094932313e-07
LDDU,LYTV,6,0.18963268618258125
LDDU,LWSK,1,0.010242790696991962
LDDU,LBBG,5,2.7402522451268865e-05
LDDU,BKPR,1,5.672687027448576e-05
LYTV,LQSA,4,0.005572311530996409
LYTV,LATI,5,0.00044135376854669565
LYTV,LBSF,5,0.0029226017827165044
LYTV,LDZA,5,0.0009096034196364647
LYTV,LDSP,6,0.0070542438631244425
LYTV,LDDU,7,0.0009763365292423323
LYTV,LWSK,2,0.0010985400485711248
LYTV,LBBG,4,0.02468430676530968
LYTV,BKPR,5,0.001346689216697626
LWSK,LQSA,8,0.000449191045241687
LWSK,LATI,1,2.9735928279599354e-06
LWSK,LBSF,8,1.4710395604187447e-07
LWSK,LDZA,8,7.792114874238904e-07
LWSK,LDSP,8,5.698884443577936e-05
LWSK,LDDU,1,5.231949594485888e-05
LWSK,LYTV,1,0.04506184224119026
LWSK,LBBG,3,0.0003749549108289106
LWSK,BKPR,8,3.774126117494363e-05
LBBG,LQSA,8,0.0003217512757869959
LBBG,LATI,8,5.993437185020538e-05
LBBG,LBSF,1,0.1044904463741998
LBBG,LDZA,1,0.007597574662108457
LBBG,LDSP,1,0.1841004734303483
LBBG,LDDU,8,0.0975556623418189
LBBG,LYTV,8,0.038816944347249215
LBBG,LWSK,8,0.008517338346766263
LBBG,BKPR,8,0.009542451081114739
BKPR,LQSA,1,0.02070743951542449
BKPR,LATI,2,0.01660769214389321
BKPR,LBSF,8,3.937776966024931e-05
BKPR,LDZA,3,2.5037458009150677e-05
BKPR,LDSP,1,0.00011521606947673436
BKPR,LDDU,1,0.030827500361465237
BKPR,LYTV,7,0.12607431457355087
BKPR,LWSK,4,0.0002058989631293191
BKPR,LBBG,4,3.0449192637158994e-05
