,LQSA,LATI,LBSF,LDZA,LDSP,LDDU,LYTV,LWSK,LBBG,BKPR
LQSA,0,1,1,1,1,1,1,1,1,1
LATI,1,0,1,1,1,1,0,1,1,1
LBSF,0,1,0,1,0,0,0,1,1,0
LDZA,0,1,1,0,1,0,1,1,1,1
LDSP,1,1,1,1,0,1,0,1,1,1
LDDU,0,1,1,1,1,0,0,0,1,1
LYTV,1,1,1,1,0,1,0,1,0,1
LWSK,1,1,1,1,1,1,0,0,1,1
LBBG,1,1,0,0,0,0,0,0,0,0
BKPR,0,0,1,1,1,0,0,1,1,0
