,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0
LFPG,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0
EHAM,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1
EDDF,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1
LEMD,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1
LEBL,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
EDDM,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
EGKK,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1
LIRF,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0
EIDW,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1
LATI,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
LQSA,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
LBSF,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1
LBBG,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1
LDZA,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1
LDSP,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
LDDU,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
BKPR,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1
LYTV,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
LWSK,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0
