,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1
LFPG,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1
EHAM,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1
EDDF,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
LEMD,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1
LEBL,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
EDDM,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1
EGKK,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1
LIRF,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
EIDW,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1
LATI,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
LQSA,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1
LBSF,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
LBBG,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
LDZA,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1
LDSP,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
LDDU,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
BKPR,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1
LYTV,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
LWSK,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0
