,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0
LFPG,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0
EHAM,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
EDDF,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1
LEMD,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
LEBL,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0
EDDM,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1
EGKK,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0
LIRF,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
EIDW,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0
LATI,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1
LQSA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
LBSF,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1
LBBG,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0
LDZA,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1
LDSP,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1
LDDU,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0
BKPR,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
LYTV,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0
LWSK,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0
