,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0
LFPG,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0
EHAM,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0
EDDF,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0
LEMD,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
LEBL,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1
EDDM,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1
EGKK,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0
LIRF,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0
EIDW,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0
LATI,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1
LQSA,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0
LBSF,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0
LBBG,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0
LDZA,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0
LDSP,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1
LDDU,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0
BKPR,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1
LYTV,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
LWSK,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0
