,EHAM,LEBL,EGLL,EGKK,LFPG,LIRF,EDDF,LEMD,EIDW,EDDM
EHAM,0,0,1,1,1,0,0,0,1,1
LEBL,1,0,1,1,0,0,0,1,1,1
EGLL,1,1,0,1,0,1,0,1,1,1
EGKK,0,1,1,0,1,1,0,1,1,1
LFPG,0,1,1,1,0,1,1,1,1,1
LIRF,0,1,0,1,0,0,0,1,1,0
EDDF,0,1,1,1,0,0,0,0,1,0
LEMD,0,1,1,1,0,1,0,0,1,0
EIDW,0,1,1,1,0,0,0,1,0,0
EDDM,1,1,1,1,0,0,0,1,1,0
