,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1
LFPG,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1
EHAM,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0
EDDF,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0
LEMD,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1
LEBL,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0
EDDM,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
EGKK,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1
LIRF,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
EIDW,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0
LATI,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1
LQSA,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
LBSF,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0
LBBG,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0
LDZA,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1
LDSP,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1
LDDU,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
BKPR,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1
LYTV,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0
LWSK,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0
