,LYTV,LWSK,LQSA,LBSF,LDDU,LATI,BKPR,LDSP,LBBG,LDZA
LYTV,0,0,0,0,0,0,0,0,0,0
LWSK,0,0,0,0,0,0,0,0,1,0
LQSA,1,0,0,0,0,1,0,0,1,1
LBSF,0,0,0,0,1,0,0,0,0,0
LDDU,0,0,0,0,0,0,0,1,0,0
LATI,0,1,0,0,0,0,0,0,0,1
BKPR,0,0,0,1,1,0,0,0,0,0
LDSP,0,0,0,0,0,0,0,0,1,0
LBBG,0,0,0,0,0,0,0,0,0,0
LDZA,1,1,0,1,0,1,1,1,0,0
