airport,distribution,n_samples,log_likelihood,aic,ks_statistic,p_value,parameters,data_support,units
BKPR,normal,21144,-85580.30991374802,171164.61982749603,0.06411997256261937,5.0926345651586455e-76,"(np.float64(4.634155473578005), np.float64(13.853806658713129))",signed,minutes
BKPR,nct,21144,-83569.18706150675,167146.3741230135,0.007098016817523978,0.23603232963585175,"(np.float64(5.022233840614003), np.float64(1.021317882619266), np.float64(-7.282220109703983), np.float64(9.83262277237601))",signed,minutes
BKPR,lognorm,13072,-45739.77574991427,91485.55149982854,0.02767728601759989,3.9264758171848064e-09,"(np.float64(0.7749589215958973), -1.66962068721195, np.float64(10.330199282490868))",positive,minutes
BKPR,gamma,13072,-87483.33222220725,174972.6644444145,0.7532755494825633,0.0,"(np.float64(0.2700572346837212), np.float64(0.016666666666666663), np.float64(3.261368073813821))",positive,minutes
BKPR,burr12,13072,-45455.461484527405,90918.92296905481,0.016181567229963723,0.002104768468565918,"(np.float64(1.2262275598913606), np.float64(7.383700135921023), np.float64(0.006121402114825364), np.float64(59.20302434948832))",positive,minutes
BKPR,gengamma,13072,-45548.539677462315,91105.07935492463,0.02502051512902148,1.5307098218553242e-07,"(np.float64(2.572809158229078), np.float64(0.6748633937935382), np.float64(-0.14693225102202437), np.float64(2.6702248661925023))",positive,minutes
BKPR,lomax,13072,-45642.98279794641,91291.96559589282,0.06201359802548101,3.817089618829445e-44,"(np.float64(374984174827.0604), np.float64(0.016666666666629935), np.float64(4487015770056.293))",positive,minutes
BKPR,invgauss,13072,-45725.59485280129,91457.18970560258,0.027415585326768854,5.72577402532556e-09,"(np.float64(0.6455632068964142), np.float64(-2.3922516045055806), np.float64(22.445022803719276))",positive,minutes
BKPR,expon,13072,-45642.38414904401,91288.76829808802,0.05939702341835024,1.5680468091396067e-40,"(0.016666666666666666, 12.080764228886169)",positive,minutes
