Unnamed: 0,distribution,aic,ks_statistic,p_value,parameters,airport,n_samples,log_likelihood
0.0,normal,344306.26267474424,0.0641199725626193,5.0926345651586455e-76,"(np.float64(278.0493284146803), np.float64(831.2283995227878))",,,
1.0,nct,340537.0304688523,0.020757433299316,2.4055050933374737e-08,"(np.float64(4.420619657030695), np.float64(0.35908481743192433), np.float64(-4.45998943389854), np.float64(596.5730017982992))",,,
2.0,lognorm,344072.8808077333,0.0587334084345668,7.626673987803309e-64,"(np.float64(0.023768325905224846), np.float64(-34511.7495466953), np.float64(34778.181032721826))",,,
3.0,gamma,inf,0.9979183384437518,0.0,"(np.float64(0.05649118377231653), np.float64(-2032.0000000000002), np.float64(5.240777761193799))",,,
,burr12,90918.92296905481,0.016181567229963723,0.002104768468565918,"(np.float64(1.2262275598913606), np.float64(7.383700135921023), np.float64(0.006121402114825364), np.float64(59.20302434948832))",BKPR,13072.0,-45455.461484527405
,gengamma,91105.07935492463,0.02502051512902148,1.5307098218553242e-07,"(np.float64(2.572809158229078), np.float64(0.6748633937935382), np.float64(-0.14693225102202437), np.float64(2.6702248661925023))",BKPR,13072.0,-45548.539677462315
,lomax,91291.96559589282,0.06201359802548101,3.817089618829445e-44,"(np.float64(374984174827.0604), np.float64(0.016666666666629935), np.float64(4487015770056.293))",BKPR,13072.0,-45642.98279794641
,invgauss,91457.18970560258,0.027415585326768854,5.72577402532556e-09,"(np.float64(0.6455632068964142), np.float64(-2.3922516045055806), np.float64(22.445022803719276))",BKPR,13072.0,-45725.59485280129
,expon,91288.76829808802,0.05939702341835024,1.5680468091396067e-40,"(0.016666666666666666, 12.080764228886169)",BKPR,13072.0,-45642.38414904401
