,EDDF,LIRF,LEMD,LFPG,EIDW,EGKK,EGLL,EDDM,EHAM,LEBL
EDDF,0,1,0,1,1,1,1,1,1,1
LIRF,0,0,1,0,0,1,1,0,0,0
LEMD,0,1,0,1,0,1,1,1,0,0
LFPG,1,1,1,0,1,1,1,1,1,1
EIDW,0,1,1,1,0,1,1,1,0,1
EGKK,1,0,1,1,1,0,1,1,0,1
EGLL,1,0,0,1,1,1,0,1,1,1
EDDM,1,1,1,1,1,1,1,0,1,1
EHAM,0,1,0,1,1,1,1,0,0,1
LEBL,1,1,1,1,0,1,0,1,1,0
