Airport,Airport_Name,Delay_Type,Distribution,KS_Statistic,P_value,AIC,BIC,P90,P95,P99,Sample_Size,Data_P90,Data_P95,Data_P99,Parameters
EGLL,London Heathrow,positive,Log-Normal,0.020838297739935008,2.2722100949278245e-183,3951714.7761293817,3951748.0517243636,46.067296701367376,60.07905061295158,97.80993582551632,484981,44.21666666666667,56.96666666666667,97.5200000000002,"(np.float64(0.6798300880528034), -3.946421893598616, np.float64(20.927415086713605))"
EGLL,London Heathrow,positive,Gamma,0.9384756760849313,0.0,11449958.285615683,11449991.561210664,0.21645980011562377,0.8208569374705954,3.700921746819193,484981,44.21666666666667,56.96666666666667,97.5200000000002,"(np.float64(0.043413056434593686), np.float64(0.016666666666666663), np.float64(3.6971423227682774))"
EGLL,London Heathrow,positive,Weibull,0.032196738877472986,0.0,3957869.501145068,3957902.77674005,47.77764040450041,59.483641543358694,85.0972057842476,484981,44.21666666666667,56.96666666666667,97.5200000000002,"(np.float64(1.2006021463109566), np.float64(0.010512047193492946), np.float64(23.8470198506923))"
EGLL,London Heathrow,positive,Log-Logistic,0.022657295023020788,1.0480269851239862e-216,3960027.7612624275,3960061.0368574094,46.9024448364225,65.1152671974906,132.6003950904116,484981,44.21666666666667,56.96666666666667,97.5200000000002,"(np.float64(2.3908481565470154), np.float64(-2.7399452297741815), np.float64(19.802940112445082))"
EGLL,London Heathrow,positive,Burr XII,0.015384771551107346,3.849571280421328e-100,3940544.150346328,3940588.5178063037,45.62859187950511,58.527941100413386,92.97310254842822,484981,44.21666666666667,56.96666666666667,97.5200000000002,"(np.float64(1.4860867294018052), np.float64(3.673700585815582), np.float64(-0.1755365321805647), np.float64(50.24318225914179))"
EGLL,London Heathrow,positive,Generalized Gamma,0.41738358156725025,0.0,4483661.9812312,4483706.348691175,51.60173289319149,92.52833756246959,246.92048764273454,484981,44.21666666666667,56.96666666666667,97.5200000000002,"(np.float64(1.7110099640757506), np.float64(0.3622139162628877), np.float64(0.016666666666666663), np.float64(1.6845520473761046))"
EGLL,London Heathrow,positive,Exponential,0.09596296027832246,0.0,3984231.0104338485,3984253.194163836,51.519863913495946,67.0238711573901,103.02306116032521,484981,44.21666666666667,56.96666666666667,97.5200000000002,"(0.016666666666666666, 22.367554364672706)"
EGLL,London Heathrow,positive,Lomax,0.09582083926800672,0.0,3984233.152748573,3984266.428343555,51.54777325019771,67.0601820424504,103.07887983807655,484981,44.21666666666667,56.96666666666667,97.5200000000002,"(np.float64(27339087779.099335), np.float64(0.016666666658939844), np.float64(611839905708.017))"
EGLL,London Heathrow,positive,Inverse Gaussian,0.022122465855554885,1.2926695770432764e-206,3954234.5494362833,3954267.825031265,46.74492375205969,60.266960262916996,93.39408087879677,484981,44.21666666666667,56.96666666666667,97.5200000000002,"(np.float64(0.5013392712298335), np.float64(-5.085889339691054), np.float64(54.788820291684246))"
EGLL,London Heathrow,positive,Beta,0.025330757902000123,9.159888614926781e-271,-3099251.825507923,-3099207.4580479474,47.88572706655639,59.90370178781126,87.10825116458383,484981,44.21666666666667,56.96666666666667,97.5200000000002,"(np.float64(1.4442326434769404), np.float64(4204191474593.168), np.float64(0.0004402863779520568), np.float64(45607295232.418335))"
EGLL,London Heathrow,positive,Pareto,0.09596296752132816,0.0,3984233.0124647575,3984266.2880597394,51.519864082336426,67.02387189865112,103.02306413650513,484981,44.21666666666667,56.96666666666667,97.5200000000002,"(np.float64(48004436.542924695), np.float64(-1073741823.9833333), 1073741824.0)"
EGLL,London Heathrow,positive,Chi-Square,0.7798629077105483,0.0,7047113.366979318,7047146.642574299,5.101804048956232,8.03173892924241,15.722230481793826,484981,44.21666666666667,56.96666666666667,97.5200000000002,"(np.float64(0.5549782310686715), np.float64(0.016666666666666663), np.float64(3.080105790001288))"
EGLL,London Heathrow,positive,F-Distribution,0.022065881036956336,1.4622412099280356e-205,3945187.02811085,3945231.395570826,46.49260067658556,59.62715237374149,92.73065293741513,484981,44.21666666666667,56.96666666666667,97.5200000000002,"(np.float64(3.591638919355001), np.float64(21.594931021241706), np.float64(-0.41844736778956715), np.float64(20.644852175239397))"
EGLL,London Heathrow,positive,T-Distribution,0.10894478996814853,0.0,4096740.862865029,4096774.1384600108,36.789655735194025,45.25394094850781,71.87478353738578,484981,44.21666666666667,56.96666666666667,97.5200000000002,"(np.float64(2.837297135999444), np.float64(17.915831107453755), np.float64(11.346377572646496))"
EGLL,London Heathrow,positive,Normal,0.14148917867070593,0.0,4321653.570371814,4321675.754101802,49.08296044659012,56.65168208628753,70.84934514192861,484981,44.21666666666667,56.96666666666667,97.5200000000002,"(np.float64(22.384221031339372), np.float64(20.83313706062621))"
EGLL,London Heathrow,positive,Uniform,0.9260248014763294,0.0,7049633.539080437,7049655.722810425,1290.2566666666667,1361.9366666666665,1419.2806666666665,484981,44.21666666666667,56.96666666666667,97.5200000000002,"(np.float64(0.016666666666666666), np.float64(1433.6))"
EGLL,London Heathrow,positive,Laplace,0.12962695175302805,0.0,4136660.298403857,4136682.4821338444,38.745934472318595,47.81710303492949,68.87970417391475,484981,44.21666666666667,56.96666666666667,97.5200000000002,"(np.float64(17.683333333333334), np.float64(13.086929900346613))"
EGLL,London Heathrow,positive,Logistic,0.11139137124488047,0.0,4152112.8869420225,4152135.07067201,40.337384184767274,47.386847889099684,62.95990812298122,484981,44.21666666666667,56.96666666666667,97.5200000000002,"(np.float64(19.608052857293448), np.float64(9.434325258005623))"
EGLL,London Heathrow,negative,Log-Normal,0.03796420312866533,1.9121297676822666e-94,450595.289447524,450622.9679763957,16.881894425098817,24.15456800011422,47.00897864525847,75070,15.266666666666667,19.69250000000005,34.18333333333333,"(np.float64(0.9632012821350838), -0.47646141544286763, np.float64(5.051483103570579))"
EGLL,London Heathrow,negative,Gamma,0.9730970511974802,0.0,1358918.9802592464,1358946.658788118,0.01666669296555035,0.016938528397160056,0.36654307506343997,75070,15.266666666666667,19.69250000000005,34.18333333333333,"(np.float64(0.005849256270168081), np.float64(0.016666666666666663), np.float64(3.099725966399986))"
EGLL,London Heathrow,negative,Weibull,0.4375974873636494,0.0,524507.6651992236,524535.3437280953,11.95303070836043,22.189310200302966,61.00794752998848,75070,15.266666666666667,19.69250000000005,34.18333333333333,"(np.float64(0.42494610906154984), np.float64(0.016666666666666663), np.float64(1.6768405328761045))"
EGLL,London Heathrow,negative,Log-Logistic,0.037136220287347754,2.1820069503166554e-90,451333.8266869787,451361.50521585037,17.860354414920458,27.986421245072318,75.09938811373088,75070,15.266666666666667,19.69250000000005,34.18333333333333,"(np.float64(1.6810659188945416), np.float64(-0.23185374166570388), np.float64(4.896099517311562))"
EGLL,London Heathrow,negative,Burr XII,0.023140697843332725,2.3634214038030286e-35,446841.6888278356,446878.5935329979,16.266836397019695,22.43035395809874,41.09280213816859,75070,15.266666666666667,19.69250000000005,34.18333333333333,"(np.float64(1.1899033077072747), np.float64(3.2902476248681083), np.float64(0.008546284218972178), np.float64(16.077525224826633))"
EGLL,London Heathrow,negative,Generalized Gamma,0.03625766721120122,3.516108918444136e-86,450498.7581264467,450535.66283160896,17.342856436456636,24.335381843040306,44.2523734774176,75070,15.266666666666667,19.69250000000005,34.18333333333333,"(np.float64(7.121649735582817), np.float64(0.3454942477669492), np.float64(-0.11386238191681425), np.float64(0.01838348596588798))"
EGLL,London Heathrow,negative,Exponential,0.05714450391928505,1.5989867008438296e-213,462381.42922183755,462399.8815744187,18.44103782440757,23.987326194133882,36.865408982148466,75070,15.266666666666667,19.69250000000005,34.18333333333333,"(0.016666666666666666, 8.0016027263443)"
EGLL,London Heathrow,negative,Lomax,0.043824568555316246,1.0069265704569749e-125,448514.79010672914,448542.4686356008,17.36710086355614,24.075001909015462,43.0871498079437,75070,15.266666666666667,19.69250000000005,34.18333333333333,"(np.float64(5.849272101986257), np.float64(0.01666666666564668), np.float64(35.96791201299342))"
