,EDDF,LIRF,LEMD,LFPG,EIDW,EGKK,EGLL,EDDM,EHAM,LEBL
EDDF,0,1,0,1,1,1,1,0,1,1
LIRF,1,0,0,1,1,1,1,1,0,1
LEMD,0,0,0,0,0,1,0,0,1,1
LFPG,1,1,1,0,1,1,1,1,1,1
EIDW,1,1,1,1,0,1,1,0,0,1
EGKK,1,1,0,1,1,0,1,1,1,1
EGLL,1,1,0,1,1,1,0,0,0,1
EDDM,0,1,0,1,1,1,1,0,1,1
EHAM,1,1,0,1,1,1,1,1,0,1
LEBL,1,0,1,1,1,1,1,1,1,0
