source,target,best_lag,p_value
EHAM,LEBL,4,5.113735141384365e-05
EHAM,EGLL,2,4.579013184550787e-06
EHAM,EGKK,3,0.00042348382085228333
EHAM,LFPG,3,1.277496391627135e-09
EHAM,LIRF,1,0.00023827785661437973
EHAM,EDDF,1,0.0033145530988396765
EHAM,LEMD,3,0.29272319218825843
EHAM,EIDW,2,1.4741708798548932e-07
EHAM,EDDM,6,2.1498403951551957e-05
LEBL,EHAM,5,1.2272124396030378e-05
LEBL,EGLL,4,0.0007377679596087095
LEBL,EGKK,1,1.3889103708713998e-10
LEBL,LFPG,3,1.2673162913489854e-06
LEBL,LIRF,8,0.015180929104166362
LEBL,EDDF,8,2.4903361339027747e-12
LEBL,LEMD,7,0.0007013776976729742
LEBL,EIDW,5,5.338350880270445e-07
LEBL,EDDM,8,2.2866635531412025e-08
EGLL,EHAM,4,0.03283288549787641
EGLL,LEBL,4,0.0010760956077179326
EGLL,EGKK,3,1.2986688823041467e-09
EGLL,LFPG,3,4.0516120186998285e-07
EGLL,LIRF,1,0.0029362279092552054
EGLL,EDDF,2,0.0001139161834314357
EGLL,LEMD,1,0.036103904044711775
EGLL,EIDW,5,0.0001688948548693106
EGLL,EDDM,5,0.03088981923326432
EGKK,EHAM,2,0.0038717964641128582
EGKK,LEBL,8,6.862343215178644e-05
EGKK,EGLL,1,0.003044196118064168
EGKK,LFPG,2,8.162755776668629e-06
EGKK,LIRF,8,0.0007863320798508814
EGKK,EDDF,8,3.2179577837710645e-07
EGKK,LEMD,1,0.014064991931159971
EGKK,EIDW,4,1.662740610124806e-05
EGKK,EDDM,8,9.160327343460273e-06
LFPG,EHAM,5,1.56547260844112e-05
LFPG,LEBL,5,7.21317827640649e-14
LFPG,EGLL,2,2.2652692734596108e-09
LFPG,EGKK,3,7.442188823013518e-13
LFPG,LIRF,8,2.1907496665828946e-05
LFPG,EDDF,5,4.663592704273824e-06
LFPG,LEMD,4,0.002064828644000209
LFPG,EIDW,4,3.2886878552553415e-11
LFPG,EDDM,5,0.00012142558229729611
LIRF,EHAM,3,0.09440565975238098
LIRF,LEBL,8,5.469257466774923e-06
LIRF,EGLL,1,1.2940561603232356e-06
LIRF,EGKK,4,6.230544591029957e-10
LIRF,LFPG,7,4.0310910163604417e-07
LIRF,EDDF,8,1.2397643455385919e-09
LIRF,LEMD,2,0.5110152971276486
LIRF,EIDW,8,1.3971344371355136e-10
LIRF,EDDM,8,1.7817302169034444e-07
EDDF,EHAM,5,2.217939419247436e-08
EDDF,LEBL,5,2.285367897888849e-15
EDDF,EGLL,3,3.371119902271496e-14
EDDF,EGKK,5,8.712233249458707e-15
EDDF,LFPG,4,1.1694337564184499e-14
EDDF,LIRF,1,2.5966924661399015e-10
EDDF,LEMD,6,0.02934241935364623
EDDF,EIDW,5,1.5235081044524012e-22
EDDF,EDDM,1,0.09285836342987219
LEMD,EHAM,3,0.005944181809787259
LEMD,LEBL,4,0.00025922858966479954
LEMD,EGLL,1,0.01032028853161762
LEMD,EGKK,2,7.251540612198014e-05
LEMD,LFPG,5,0.023846612782586984
LEMD,LIRF,2,0.04579772394049653
LEMD,EDDF,3,0.4120195847909922
LEMD,EIDW,5,0.022442587313073473
LEMD,EDDM,4,0.29091623246375525
EIDW,EHAM,8,0.08776230838168217
EIDW,LEBL,3,0.001170384223094963
EIDW,EGLL,1,1.201129798740044e-05
EIDW,EGKK,6,8.337814134482255e-08
EIDW,LFPG,8,0.0026106631343463275
EIDW,LIRF,5,3.239481476431012e-05
EIDW,EDDF,8,0.0036454127251201187
EIDW,LEMD,2,0.0033400214440460663
EIDW,EDDM,8,0.07780805923960321
EDDM,EHAM,5,3.8129135098997237e-07
EDDM,LEBL,4,4.309398570963293e-10
EDDM,EGLL,3,1.0076308779344575e-12
EDDM,EGKK,3,3.7163691142930395e-14
EDDM,LFPG,2,3.993441183996155e-14
EDDM,LIRF,1,5.995308255800995e-08
EDDM,EDDF,8,0.008084027097767545
EDDM,LEMD,8,0.10198554009275126
EDDM,EIDW,7,5.762094695031215e-18
