,LYTV,LBBG,LQSA,LDDU,LDZA,BKPR,LBSF,LWSK,LATI,LDSP
LYTV,0,0,0,0,0,0,1,0,0,0
LBBG,0,0,0,0,0,1,1,0,0,0
LQSA,1,0,0,0,1,0,1,0,0,0
LDDU,0,0,0,0,0,0,0,0,0,0
LDZA,1,0,1,0,0,0,0,1,0,0
BKPR,0,0,0,0,0,0,0,1,1,0
LBSF,0,0,0,0,0,0,0,0,0,0
LWSK,1,0,1,0,0,0,0,0,0,0
LATI,0,0,0,0,0,0,0,0,0,0
LDSP,1,0,0,0,0,0,0,0,1,0
