,LYTV,LBBG,LQSA,LDDU,LDZA,BKPR,LBSF,LWSK,LATI,LDSP
LYTV,0,0,0,0,0,0,0,0,1,0
LBBG,0,0,0,0,0,0,1,0,0,0
LQSA,1,0,0,0,1,0,1,0,0,0
LDDU,1,0,0,0,0,0,0,0,0,1
LDZA,0,0,0,0,0,0,1,1,0,1
BKPR,0,0,0,0,0,0,1,1,0,0
LBSF,0,0,1,1,0,0,0,1,0,1
LWSK,1,0,1,0,0,1,0,0,0,0
LATI,0,0,0,0,0,0,0,0,0,0
LDSP,1,0,0,1,0,0,0,0,0,0
