source,target,best_lag,p_value
LYTV,BKPR,7,0.3349040184153936
LYTV,LDZA,4,0.4204861896013622
LYTV,LATI,5,0.004635477952205186
LYTV,LBSF,8,0.16885704626036868
LYTV,LBBG,1,0.8559599632775152
LYTV,LDDU,1,0.6137238922694934
LYTV,LQSA,1,0.188050201941982
LYTV,LWSK,4,0.355011144212514
LYTV,LDSP,6,0.3454717213116124
BKPR,LYTV,1,0.021622278097127405
BKPR,LDZA,4,0.5740315653755476
BKPR,LATI,5,0.029608126349113313
BKPR,LBSF,7,0.005710347899831795
BKPR,LBBG,1,0.14584646969562975
BKPR,LDDU,3,0.032356372007776156
BKPR,LQSA,8,0.14764698924446606
BKPR,LWSK,4,0.0008648765649269623
BKPR,LDSP,2,0.1304399437471229
LDZA,LYTV,7,0.0903357517361188
LDZA,BKPR,4,0.038516552756397045
LDZA,LATI,1,0.18243092505395136
LDZA,LBSF,3,5.021066310140062e-07
LDZA,LBBG,1,0.5993268598528629
LDZA,LDDU,5,0.07575667069604801
LDZA,LQSA,5,0.09556084460409944
LDZA,LWSK,2,0.004220675261017732
LDZA,LDSP,6,0.00012442989475430603
LATI,LYTV,2,0.553651985715822
LATI,BKPR,6,0.13739898079310908
LATI,LDZA,1,0.4135782251250265
LATI,LBSF,1,0.43711026186007007
LATI,LBBG,2,0.013389456623087891
LATI,LDDU,2,0.5110270664125413
LATI,LQSA,6,0.08347337416235732
LATI,LWSK,1,0.5620751460635685
LATI,LDSP,1,0.7219066396756795
LBSF,LYTV,1,0.20184925021969852
LBSF,BKPR,1,0.14733084993260148
LBSF,LDZA,4,0.32288173098801576
LBSF,LATI,3,0.060539794468174674
LBSF,LBBG,8,0.06771967090231308
LBSF,LDDU,4,0.0025413172041733466
LBSF,LQSA,6,0.0004696637553357511
LBSF,LWSK,1,0.0015538519990851377
LBSF,LDSP,3,0.0014516355125008074
LBBG,LYTV,3,0.0636099781286838
LBBG,BKPR,3,0.35272041675299504
LBBG,LDZA,3,0.527763059430379
LBBG,LATI,5,0.12387428148151898
LBBG,LBSF,5,0.0028993510426939956
LBBG,LDDU,3,0.05739856472704964
LBBG,LQSA,2,0.6416932771166806
LBBG,LWSK,2,0.3265802535596304
LBBG,LDSP,1,0.22528969156639317
LDDU,LYTV,2,0.0019696503032465484
LDDU,BKPR,8,0.4362992967227233
LDDU,LDZA,8,0.3356477059154727
LDDU,LATI,1,0.10568256351003157
LDDU,LBSF,2,0.010508696309031153
LDDU,LBBG,8,0.07659956069357092
LDDU,LQSA,8,0.41673886952642775
LDDU,LWSK,3,0.15434235681489838
LDDU,LDSP,4,0.00023281464991936648
LQSA,LYTV,8,0.0008705613048434334
LQSA,BKPR,1,0.12367305969153478
LQSA,LDZA,2,0.0007840972912080559
LQSA,LATI,1,0.42277608938519307
LQSA,LBSF,6,1.549680179693199e-05
LQSA,LBBG,1,0.023172727883582486
LQSA,LDDU,1,0.17495422179274844
LQSA,LWSK,6,0.014631574842436797
LQSA,LDSP,2,0.16656084057043102
LWSK,LYTV,8,0.004146995355896766
LWSK,BKPR,8,0.0001628107888721476
LWSK,LDZA,5,0.35113556107973465
LWSK,LATI,2,0.1127528822240142
LWSK,LBSF,6,0.013148311357066221
LWSK,LBBG,8,0.3720069654757886
LWSK,LDDU,7,0.4495532033545421
LWSK,LQSA,7,0.00011196378554818362
LWSK,LDSP,1,0.26606524818369887
LDSP,LYTV,4,0.0033765090047773063
LDSP,BKPR,5,0.04113214949557515
LDSP,LDZA,1,0.007950943198578302
LDSP,LATI,4,0.0262951122208077
LDSP,LBSF,1,0.21026301137892886
LDSP,LBBG,3,0.13404114694961156
LDSP,LDDU,2,0.0024807083409067866
LDSP,LQSA,3,0.01178704716787453
LDSP,LWSK,4,0.1248179288241908
