,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
LFPG,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1
EHAM,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1
EDDF,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
LEMD,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0
LEBL,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1
EDDM,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
EGKK,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1
LIRF,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1
EIDW,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0
LATI,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
LQSA,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0
LBSF,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1
LBBG,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1
LDZA,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1
LDSP,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1
LDDU,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0
BKPR,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
LYTV,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
LWSK,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
