,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
LFPG,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1
EHAM,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1
EDDF,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
LEMD,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1
LEBL,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
EDDM,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
EGKK,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
LIRF,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
EIDW,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
LATI,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1
LQSA,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0
LBSF,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1
LBBG,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0
LDZA,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1
LDSP,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0
LDDU,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0
BKPR,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
LYTV,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
LWSK,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0
