source,target,best_lag,p_value
EHAM,EDDM,4,9.974646055922443e-11
EDDF,EGLL,7,1.1738964641570144e-10
EDDM,EIDW,5,2.184263363818303e-10
LIRF,EGKK,1,8.096564335298039e-10
EIDW,EDDM,23,9.918002515135351e-09
LIRF,LEBL,2,1.484615094878145e-08
LFPG,EGKK,3,1.413065768968189e-07
EDDM,EGLL,1,2.9045601785543745e-07
EGKK,LIRF,4,6.217487496717671e-07
EDDM,LBSF,19,1.1735037361319847e-06
LEBL,LBSF,23,1.6359291754844024e-06
EGKK,EDDM,23,2.3071077953229155e-06
LEBL,LFPG,7,3.1337978094750004e-06
LFPG,LIRF,5,4.481107585015784e-06
EDDM,EGKK,5,4.6962486777241745e-06
EDDF,LEBL,2,5.566078526722786e-06
EDDF,LFPG,12,5.69309696429238e-06
EIDW,EHAM,24,6.8470882095810705e-06
LDDU,BKPR,1,7.760386802027169e-06
LFPG,LEBL,4,7.921894041358665e-06
