,LYTV,LBBG,LQSA,LDDU,LDZA,BKPR,LBSF,LWSK,LATI,LDSP
LYTV,0,0,1,1,1,1,1,0,1,1
LBBG,0,0,0,0,0,0,0,1,0,0
LQSA,0,0,0,1,1,1,1,0,1,0
LDDU,0,1,1,0,1,1,1,1,1,1
LDZA,0,0,1,1,0,1,1,1,1,1
BKPR,0,1,1,1,1,0,1,1,1,1
LBSF,0,0,1,1,1,1,0,1,0,0
LWSK,1,0,0,1,1,1,0,0,0,1
LATI,1,0,0,0,1,1,1,1,0,1
LDSP,1,1,1,1,1,1,1,1,1,0
