source,target,best_lag,p_value
EGLL,LFPG,5,0.00011161512553228141
EGLL,EHAM,2,0.15423198573980007
EGLL,EDDF,5,0.021210909713959652
EGLL,LEMD,6,0.020742944708968907
EGLL,LEBL,6,1.6832361021790195e-06
EGLL,EDDM,3,0.2552113756707466
EGLL,EGKK,8,0.5347097351705473
EGLL,LIRF,5,0.021499488078429413
EGLL,EIDW,2,0.28544112891944257
EGLL,LATI,1,0.1736233685460511
EGLL,LQSA,1,0.5663435022476837
EGLL,LBSF,2,0.01995738263192807
EGLL,LBBG,1,0.7009923614969032
EGLL,LDZA,1,0.050515674699589806
EGLL,LDSP,1,0.6009419135757751
EGLL,LDDU,8,0.47072329021553105
EGLL,BKPR,5,0.7760902395467069
EGLL,LYTV,8,0.03157087439785549
EGLL,LWSK,1,0.8207232421155362
LFPG,EGLL,3,0.002613668308773464
LFPG,EHAM,1,0.0011436984580716744
LFPG,EDDF,4,3.054374854827949e-10
LFPG,LEMD,8,0.0025477343085420065
LFPG,LEBL,7,0.009684245677661192
LFPG,EDDM,4,0.007210526308021585
LFPG,EGKK,2,0.01805508902743818
LFPG,LIRF,3,2.533277705392224e-05
LFPG,EIDW,2,0.004575368394460405
LFPG,LATI,4,0.11211399356409248
LFPG,LQSA,8,0.014696166682749734
LFPG,LBSF,3,0.0003174623395872262
LFPG,LBBG,4,0.02293724181273029
LFPG,LDZA,6,0.49369698253872063
LFPG,LDSP,6,0.1196395532029427
LFPG,LDDU,7,0.0029092883606307127
LFPG,BKPR,1,0.3876744356814885
LFPG,LYTV,3,0.2903456282794384
LFPG,LWSK,4,0.11722335898659074
EHAM,EGLL,5,0.03847091606379765
EHAM,LFPG,1,0.00033495266710917895
EHAM,EDDF,4,0.011667244683830496
EHAM,LEMD,6,2.7864578610234212e-09
EHAM,LEBL,6,0.0006880227146237215
EHAM,EDDM,5,0.06337565952131557
EHAM,EGKK,1,0.03494143183978464
EHAM,LIRF,3,0.012639449223397435
EHAM,EIDW,3,0.039835623478444174
EHAM,LATI,4,0.07184565128548046
EHAM,LQSA,1,0.556140182046067
EHAM,LBSF,4,0.0023696805623913074
EHAM,LBBG,3,0.06485868817482834
EHAM,LDZA,5,0.3033627861964762
EHAM,LDSP,7,0.10820370849050134
EHAM,LDDU,8,0.018802963516024125
EHAM,BKPR,4,0.2134557791404472
EHAM,LYTV,8,0.15890076434537542
EHAM,LWSK,1,0.5014666452959149
EDDF,EGLL,3,0.0018183470608179899
EDDF,LFPG,6,4.090383500672668e-09
EDDF,EHAM,4,8.62799462449912e-07
EDDF,LEMD,8,0.02811346043385692
EDDF,LEBL,8,6.485417572224065e-09
EDDF,EDDM,8,9.241173766675084e-06
EDDF,EGKK,2,9.530828243426885e-11
EDDF,LIRF,4,5.926072428641725e-08
EDDF,EIDW,8,0.0009386917515244734
EDDF,LATI,7,0.1374094959005686
EDDF,LQSA,8,0.07875272775451443
EDDF,LBSF,5,0.0018318463423558622
EDDF,LBBG,8,0.5796971834102183
EDDF,LDZA,8,0.0006058813378821439
EDDF,LDSP,8,0.008325316554511797
EDDF,LDDU,8,0.018644059681209853
EDDF,BKPR,8,0.003265552663633051
EDDF,LYTV,5,0.0003182858964225272
EDDF,LWSK,1,0.18562894256059612
LEMD,EGLL,4,0.5740638613073901
LEMD,LFPG,3,0.26308586594664557
LEMD,EHAM,1,0.7323431509679454
LEMD,EDDF,1,0.4284003972025998
LEMD,LEBL,8,0.24698975636722112
LEMD,EDDM,1,0.20325902123034276
LEMD,EGKK,1,0.8159538749162217
LEMD,LIRF,5,0.0008680422819338164
LEMD,EIDW,4,0.06607486063604597
LEMD,LATI,1,0.1328829990416728
LEMD,LQSA,8,0.3305750511977811
LEMD,LBSF,1,0.07725749911372776
LEMD,LBBG,5,0.0026833337823086644
LEMD,LDZA,4,0.0030004498253384175
LEMD,LDSP,1,0.033579761638268854
LEMD,LDDU,2,0.10633167624971888
LEMD,BKPR,4,0.33528823486370474
LEMD,LYTV,4,0.3688608309864751
LEMD,LWSK,8,0.37072146384285065
LEBL,EGLL,6,0.8148542377357657
LEBL,LFPG,2,0.569174474632711
LEBL,EHAM,1,0.2260049319341547
LEBL,EDDF,1,0.001848726671141987
LEBL,LEMD,2,0.0034929686985535136
LEBL,EDDM,5,0.08084544238155213
LEBL,EGKK,2,6.730968081235449e-05
LEBL,LIRF,6,0.04506707947531324
LEBL,EIDW,2,0.13778023467957187
LEBL,LATI,1,0.23098098985919704
LEBL,LQSA,5,0.18924126518632214
LEBL,LBSF,4,0.047103637131325
LEBL,LBBG,6,0.004089746146334975
LEBL,LDZA,1,0.7172672641301897
LEBL,LDSP,4,0.028102814617710446
LEBL,LDDU,4,0.06934120004189588
LEBL,BKPR,1,0.03130854599258184
LEBL,LYTV,8,0.3132656327564552
LEBL,LWSK,5,0.22948514300080025
EDDM,EGLL,4,0.01510904969099606
EDDM,LFPG,6,1.4308908324875775e-06
EDDM,EHAM,2,0.00035511130503025943
EDDM,EDDF,2,3.702356095619e-10
EDDM,LEMD,8,0.321231263523026
EDDM,LEBL,8,0.0026853107515988107
EDDM,EGKK,4,2.357220840273913e-05
EDDM,LIRF,2,0.0005525127230468915
EDDM,EIDW,5,0.003150018846352499
EDDM,LATI,4,0.11766303106567265
EDDM,LQSA,8,0.20598770866558802
EDDM,LBSF,6,0.03192727419431488
EDDM,LBBG,1,0.20758235804427935
EDDM,LDZA,7,0.008159335030705218
EDDM,LDSP,8,0.0016588397862931784
EDDM,LDDU,2,0.076678356464373
