Region,Distribution,c,c_CI_low,c_CI_high,d,d_CI_low,d_CI_high,loc,loc_CI_low,loc_CI_high,scale,scale_CI_low,scale_CI_high,KS stat.
Europe,Burr XII,2.7525739855482865,2.420524183035937,2.817182747450608,0.3527773536606375,0.33238835636653696,0.401382246023518,0.016666666666666663,0.016666666215313077,0.016666666666666663,21.900460129358095,20.805422428376897,23.642302566998815,0.012739107101188196
Balkans,Burr XII,2.7134298028004427,2.6620484777709508,3.077648789382134,0.36287378561104944,0.2880169453403184,0.36218509666559484,0.01666666666666666,0.01666666666640171,0.016666666666666663,15.887193613234457,16.075204323744888,18.254115575955105,0.009704354953151029
