Region,Distribution,Mean,Mean_CI_low,Mean_CI_high,Std,Std_CI_low,Std_CI_high,KS stat.
Europe,Normal,7.761853592359875,7.748314187938756,7.778570007235956,19.833127066073615,19.73656049477383,19.972546226644738,0.10696003633398765
Balkans,Normal,2.7887100441805956,2.7339243777501947,2.8543703405444316,14.716535628855421,14.423023094362955,15.238034655030436,0.06990866692651754
