Region,Distribution,df,df_ci_low,df_ci_high,nc,nc_ci_low,nc_ci_high,c,c_ci_low,c_ci_high,d,d_ci_low,d_ci_high,loc,loc_ci_low,loc_ci_high,scale,scale_ci_low,scale_ci_high,KS,p-value
Europe,Normal,,,,,,,,,,,,,7.761853592359875,7.742686943950073,7.779701738174488,19.833127066073615,19.7072877896703,19.94411692222461,0.10696003633398765,0.0
Balkans,Normal,,,,,,,,,,,,,2.7887100441805956,2.729735357343707,2.841134028709068,14.716535628855421,14.41747971377158,15.169087956451873,0.06990866692651754,0.0
Europe,Noncentral t,3.7185230612634603,3.641620907863833,3.7874835609551103,1.2139889639559216,1.18517873189499,1.245426648574826,,,,,,,-9.197518447606722,-9.58322744942297,-8.868960032072719,10.923873928476684,10.864407189651514,10.975739694040671,0.0034315834579472515,7.022067904796994e-47
Balkans,Noncentral t,4.222349780772724,4.020945647189327,4.29969852287353,0.5646559252655587,0.20183025707750318,0.588416800132362,,,,,,,-4.188066059527326,-4.445387877172866,-0.049482186641149825,9.976949906208386,9.924778411507859,10.026533398650761,0.003062342781453453,0.007117386413841563
Europe,Burr XII,,,,,,,2.7525739855482865,2.419139940154296,2.8225293529651148,0.3527773536606375,0.3356601676942798,0.4058528806423845,0.016666666666666663,0.016666666619791378,0.016666666666666663,21.900460129358095,20.46386306259366,23.768343293756224,0.012739107101188196,0.0
Balkans,Burr XII,,,,,,,2.7134298028004427,2.6498855520463445,3.0505648642126144,0.36287378561104944,0.3018009357216313,0.36196515727005074,0.01666666666666666,0.0166666666613185,0.016666666666666663,15.887193613234457,15.889646924891117,17.756666020361056,0.009704354953151029,2.1454282798750073e-14
