,EDDF,LIRF,LEMD,LFPG,EIDW,EGKK,EGLL,EDDM,EHAM,LEBL
EDDF,0,1,1,1,1,1,1,1,0,1
LIRF,1,0,1,1,1,1,1,1,0,1
LEMD,0,0,0,1,1,1,1,0,0,1
LFPG,0,0,1,0,1,1,1,1,0,1
EIDW,1,0,1,1,0,1,1,1,1,1
EGKK,0,0,1,0,1,0,0,0,0,1
EGLL,0,0,1,1,1,1,0,0,1,1
EDDM,0,1,1,1,1,1,1,0,0,1
EHAM,1,0,1,0,1,1,1,1,0,1
LEBL,0,1,1,0,1,0,0,1,0,0
