,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0
LFPG,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0
EHAM,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0
EDDF,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0
LEMD,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0
LEBL,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0
EDDM,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0
EGKK,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0
LIRF,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0
EIDW,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0
LATI,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
LQSA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
LBSF,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
LBBG,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LDZA,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
LDSP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
LDDU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BKPR,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
LYTV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1
LWSK,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
