,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1
LFPG,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1
EHAM,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0
EDDF,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1
LEMD,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1
LEBL,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
EDDM,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0
EGKK,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1
LIRF,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1
EIDW,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
LATI,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
LQSA,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
LBSF,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
LBBG,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
LDZA,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1
LDSP,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1
LDDU,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
BKPR,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0
LYTV,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1
LWSK,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
