,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
LFPG,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
EHAM,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1
EDDF,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LEMD,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1
LEBL,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
EDDM,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EGKK,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
LIRF,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
EIDW,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
LATI,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LQSA,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0
LBSF,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
LBBG,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
LDZA,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
LDSP,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
LDDU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
BKPR,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
LYTV,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LWSK,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0
