,EGKK,EDDM,EDDF,EHAM,EGLL,LFPG,LIRF,EIDW,LEBL,LEMD
EGKK,0,0,0,0,1,0,0,1,0,1
EDDM,0,0,0,0,0,1,0,0,0,1
EDDF,0,0,0,1,1,1,0,0,1,0
EHAM,0,0,0,0,1,1,1,1,1,1
EGLL,0,0,0,0,0,0,0,1,1,1
LFPG,0,0,0,1,1,0,0,0,1,1
LIRF,0,0,0,0,0,0,0,0,0,0
EIDW,0,0,0,0,1,0,0,0,0,1
LEBL,0,0,1,1,0,0,0,1,0,1
LEMD,0,0,0,1,1,1,0,1,1,0
