source,target,best_lag,p_value
EHAM,LEBL,8,0.00018040540026524542
EHAM,EGLL,2,4.839311263729919e-07
EHAM,EGKK,1,0.28923554402920043
EHAM,LFPG,7,1.3430268415434798e-08
EHAM,LIRF,3,3.576718071556831e-05
EHAM,EDDF,1,0.26414477244268153
EHAM,LEMD,1,1.5479962512313858e-05
EHAM,EIDW,2,1.6104832359699117e-06
EHAM,EDDM,1,0.525771125503299
LEBL,EHAM,3,0.0005889126514967649
LEBL,EGLL,8,0.015206629702109896
LEBL,EGKK,2,0.4624461045981092
LEBL,LFPG,2,0.21665787954817817
LEBL,LIRF,6,0.33238079132956855
LEBL,EDDF,3,1.4011216888774171e-05
LEBL,LEMD,2,0.005455609469640886
LEBL,EIDW,7,0.0014507936592214968
LEBL,EDDM,7,0.36133163644932254
EGLL,EHAM,1,0.026842047883893327
EGLL,LEBL,8,0.0006861083724981196
EGLL,EGKK,2,0.7649390261826273
EGLL,LFPG,6,0.09097065000350953
EGLL,LIRF,5,0.9318476462908378
EGLL,EDDF,6,0.07038749658386503
EGLL,LEMD,2,9.958868937190247e-05
EGLL,EIDW,1,0.00039188269956445994
EGLL,EDDM,1,0.21479327624027833
EGKK,EHAM,1,0.015099490615018477
EGKK,LEBL,7,0.5771581703973307
EGKK,EGLL,5,0.0004103378999527172
EGKK,LFPG,1,0.013692887057768433
EGKK,LIRF,7,0.08901570717018648
EGKK,EDDF,1,0.32681779289690405
EGKK,LEMD,4,0.0027405695907564316
EGKK,EIDW,4,0.00016207345362163544
EGKK,EDDM,1,0.2371539450057377
LFPG,EHAM,1,0.0037656727807764538
LFPG,LEBL,8,6.609890384608637e-07
LFPG,EGLL,1,9.54187987081218e-05
LFPG,EGKK,1,0.8454907022003295
LFPG,LIRF,8,0.3713280913289523
LFPG,EDDF,1,0.10658562433522176
LFPG,LEMD,8,1.7775558844347597e-05
LFPG,EIDW,8,0.12338245729539586
LFPG,EDDM,1,0.2905147080863898
LIRF,EHAM,2,0.1358157853811062
LIRF,LEBL,7,0.26471581783960413
LIRF,EGLL,2,0.016537368419338377
LIRF,EGKK,6,0.102565439426228
LIRF,LFPG,1,0.05387162531262223
LIRF,EDDF,1,0.08284139250617896
LIRF,LEMD,5,0.032265373278777806
LIRF,EIDW,2,0.023553322775344544
LIRF,EDDM,1,0.03257580002500884
EDDF,EHAM,2,7.992249730215033e-05
EDDF,LEBL,1,0.00012282282236046008
EDDF,EGLL,2,0.003183996070488651
EDDF,EGKK,1,0.10660483761758745
EDDF,LFPG,2,0.006211692036538432
EDDF,LIRF,2,0.011770504366587714
EDDF,LEMD,4,0.0161200176426266
EDDF,EIDW,6,0.03480976636023857
EDDF,EDDM,1,0.06523949464432749
LEMD,EHAM,6,1.3262672205738226e-05
LEMD,LEBL,7,0.00029714687620695625
LEMD,EGLL,8,2.4548846977729067e-05
LEMD,EGKK,5,0.09960014123658072
LEMD,LFPG,7,0.000901507090699617
LEMD,LIRF,4,0.0062929387354581255
LEMD,EDDF,7,0.13398204693519206
LEMD,EIDW,3,0.0003457452610602726
LEMD,EDDM,4,0.24087258155428365
EIDW,EHAM,3,0.08728601630001076
EIDW,LEBL,8,0.0893785724508715
EIDW,EGLL,1,0.004413876913178828
EIDW,EGKK,1,0.19438674276869328
EIDW,LFPG,8,0.009068283086443871
EIDW,LIRF,3,0.016288322665716077
EIDW,EDDF,5,0.10856044033409332
EIDW,LEMD,8,1.851852819330081e-05
EIDW,EDDM,7,0.34648784912808084
EDDM,EHAM,1,0.018267866243063847
EDDM,LEBL,6,0.012728219135728807
EDDM,EGLL,5,0.06547758128075032
EDDM,EGKK,1,0.20286644889903896
EDDM,LFPG,2,0.0003845246468210408
EDDM,LIRF,1,0.2882959234898243
EDDM,EDDF,4,0.023362503232592154
EDDM,LEMD,5,2.3094075576819176e-05
EDDM,EIDW,1,0.06014634231365422
