,LYTV,LWSK,LQSA,LBSF,LDDU,LATI,BKPR,LDSP,LBBG,LDZA
LYTV,0,1,1,1,0,1,1,1,0,0
LWSK,0,0,1,0,0,0,0,1,0,0
LQSA,1,0,0,0,1,0,1,1,0,1
LBSF,1,0,1,0,0,0,0,0,0,0
LDDU,0,0,0,0,0,0,0,1,0,0
LATI,1,0,0,1,0,0,0,1,0,0
BKPR,0,0,0,0,0,0,0,0,0,1
LDSP,0,1,0,0,0,0,0,0,1,0
LBBG,0,0,0,0,0,0,0,0,0,0
LDZA,1,0,1,1,0,0,1,0,0,0
