,sample_size,mean_ks_statistic,std_ks_statistic,mean_p_value,std_p_value
0,100,0.17519861191522407,0.06949880707180087,0.0510190382969966,0.06957669536553737
1,500,0.14226529678625865,0.016460502777183146,3.7120847228967904e-07,7.33043024779277e-07
2,1000,0.13059403102191516,0.010691965216023043,5.319024999023996e-13,7.70216408509156e-13
3,5000,0.14153153243808764,0.008821656514003535,1.4902518392545603e-77,2.9765864769598456e-77
