,distribution,aic,ks_statistic,p_value,parameters
0,normal,10197292.953036528,0.13299325463241807,0.0,"(np.float64(662.4205288908115), np.float64(1248.675239172095))"
1,nct,9804874.880063418,0.010998743638292341,4.2404171290113213e-63,"(np.float64(2.6572484932007265), np.float64(0.7548290216886939), np.float64(-3.1502542381305307), np.float64(580.1953613900562))"
2,lognorm,10240540.76480006,0.194606366909005,0.0,"(np.float64(0.02050040216407929), np.float64(-61961.186115370176), np.float64(62815.69143923757))"
3,gamma,11503771.51353987,0.35577038321348964,0.0,"(np.float64(79.02172599098103), np.float64(-52553.65020557531), np.float64(680.6161373607101))"
