,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0
LFPG,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1
EHAM,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1
EDDF,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1
LEMD,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0
LEBL,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1
EDDM,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1
EGKK,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1
LIRF,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1
EIDW,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1
LATI,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1
LQSA,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1
LBSF,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1
LBBG,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LDZA,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1
LDSP,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
LDDU,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0
BKPR,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1
LYTV,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0
LWSK,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0
