,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0
LFPG,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0
EHAM,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1
EDDF,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0
LEMD,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1
LEBL,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1
EDDM,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1
EGKK,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0
LIRF,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
EIDW,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1
LATI,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0
LQSA,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
LBSF,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
LBBG,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
LDZA,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
LDSP,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
LDDU,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0
BKPR,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0
LYTV,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1
LWSK,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0
