airports,methods,status,mean_original,std_original,mean_detrended,std_detrended
BKPR,z_score,SUCCESS,0.7258327211613775,5.294949098615977,6.224725903585848e-18,1.0
BKPR,delta,SUCCESS,0.7258327211613775,5.294949098615977,-0.00022457146081264668,4.883171046798215
BKPR,second_difference,SUCCESS,0.7258327211613775,5.294949098615977,-0.0001292820889552024,11.76011129926671
EDDF,z_score,SUCCESS,0.77424192858215,9.394827142287237,1.8674177710757543e-17,0.9999999999999999
EDDF,delta,SUCCESS,0.77424192858215,9.394827142287237,-0.00013890501217490216,8.722409127229277
EDDF,second_difference,SUCCESS,0.77424192858215,9.394827142287237,-1.6352510841398278e-18,20.479031973318563
EDDM,z_score,SUCCESS,0.7217034310890977,6.769023647977683,6.224725903585848e-18,0.9999999999999999
EDDM,delta,SUCCESS,0.7217034310890977,6.769023647977683,-0.00010747512000037892,6.1678790180467
EDDM,second_difference,SUCCESS,0.7217034310890977,6.769023647977683,6.023024379560231e-05,14.21701726797422
EGKK,z_score,SUCCESS,2.774358314417906,9.026317649156157,3.7348355421515085e-17,1.0
EGKK,delta,SUCCESS,2.774358314417906,9.026317649156157,-0.00032174527434204254,6.106201759307267
EGKK,second_difference,SUCCESS,2.774358314417906,9.026317649156157,-8.262446322917339e-05,11.49169961185834
EGLL,z_score,SUCCESS,4.2233340673203905,14.267617269697839,0.0,1.0
EGLL,delta,SUCCESS,4.2233340673203905,14.267617269697839,-0.0006110722291241779,12.001179223459497
EGLL,second_difference,SUCCESS,4.2233340673203905,14.267617269697839,-2.4316001251149858e-20,26.985022474219132
EHAM,z_score,SUCCESS,2.9811233320775403,8.378139767186536,5.602253313227263e-17,1.0
EHAM,delta,SUCCESS,2.9811233320775403,8.378139767186536,-0.00012594578993532234,5.7236059600706195
EHAM,second_difference,SUCCESS,2.9811233320775403,8.378139767186536,-8.096290820820346e-05,10.667852244269051
EIDW,z_score,SUCCESS,0.20385996142953028,6.447852030337686,-6.224725903585848e-18,1.0
EIDW,delta,SUCCESS,0.20385996142953028,6.447852030337686,-0.0003135683698228325,5.604027744053492
EIDW,second_difference,SUCCESS,0.20385996142953028,6.447852030337686,-0.00015113171259222596,12.752216550035962
