,LYTV,LBBG,LQSA,LDDU,LDZA,BKPR,LBSF,LWSK,LATI,LDSP
LYTV,0,0,0,0,0,1,0,1,1,1
LBBG,0,0,0,0,0,0,1,0,0,0
LQSA,0,0,0,1,0,0,0,0,1,1
LDDU,0,0,0,0,0,1,0,1,1,0
LDZA,0,1,1,1,0,1,1,1,1,1
BKPR,0,0,1,0,1,0,1,0,0,0
LBSF,1,0,0,0,0,0,0,0,0,1
LWSK,0,0,1,0,0,0,0,0,0,0
LATI,0,0,0,0,0,1,0,0,0,0
LDSP,1,0,0,1,1,1,1,1,1,0
