,LYTV,LBBG,LQSA,LDDU,LDZA,BKPR,LBSF,LWSK,LATI,LDSP
LYTV,0,0,0,0,0,0,0,0,0,0
LBBG,0,0,0,0,0,0,0,0,0,0
LQSA,0,0,0,0,0,1,0,0,1,0
LDDU,0,0,0,0,0,1,0,0,0,0
LDZA,0,0,0,0,0,0,0,0,0,0
BKPR,0,0,0,0,0,0,0,0,0,0
LBSF,0,0,0,0,0,0,0,0,0,0
LWSK,0,0,0,0,0,0,0,0,1,0
LATI,0,0,1,0,0,1,0,0,0,0
LDSP,0,1,0,1,0,0,0,0,0,0
