source,target,best_lag,p_value
LYTV,LBBG,4,0.29073646828708377
LYTV,LQSA,1,0.12724325757606256
LYTV,LDDU,4,0.4891932715495575
LYTV,LDZA,1,0.0972711427055578
LYTV,BKPR,4,0.7569573204635637
LYTV,LBSF,2,0.5629324763942669
LYTV,LWSK,6,0.1531752177027692
LYTV,LATI,2,0.1207914327442849
LYTV,LDSP,2,0.01899082402197563
LBBG,LYTV,3,0.3244281274895837
LBBG,LQSA,4,0.24969868307777895
LBBG,LDDU,8,0.2610776511752802
LBBG,LDZA,5,0.13744802358318656
LBBG,BKPR,7,0.27684510104617777
LBBG,LBSF,3,0.05762837501479199
LBBG,LWSK,4,0.39118741566753623
LBBG,LATI,4,0.33705909470569967
LBBG,LDSP,1,0.03830036717701747
LQSA,LYTV,3,0.20758888491978622
LQSA,LBBG,2,0.008923301216709537
LQSA,LDDU,3,0.1590362161488846
LQSA,LDZA,3,0.31582600240810815
LQSA,BKPR,6,0.0034181594407028427
LQSA,LBSF,6,0.45408146640797886
LQSA,LWSK,1,0.009933138372094133
LQSA,LATI,2,0.0010207932302247983
LQSA,LDSP,8,0.11887036755022522
LDDU,LYTV,4,0.5093644844994909
LDDU,LBBG,8,0.1969016155397155
LDDU,LQSA,1,0.09860908976321597
LDDU,LDZA,8,0.03481262705876476
LDDU,BKPR,1,0.0001043596616082066
LDDU,LBSF,1,0.04219179135643639
LDDU,LWSK,3,0.3355554530796732
LDDU,LATI,2,0.06871118553915163
LDDU,LDSP,1,0.03476485344088506
LDZA,LYTV,2,0.02034334797889445
LDZA,LBBG,6,0.1334291679114684
LDZA,LQSA,2,0.007739593755445091
LDZA,LDDU,1,0.8399167368566693
LDZA,BKPR,1,0.12805971979913044
LDZA,LBSF,2,0.0888192087857032
LDZA,LWSK,2,0.05518172184825583
LDZA,LATI,4,0.32997572381302975
LDZA,LDSP,4,0.053934005590893855
BKPR,LYTV,8,0.33125899934099884
BKPR,LBBG,3,0.08525447418758002
BKPR,LQSA,4,0.07849867792124735
BKPR,LDDU,5,0.6336105703421682
BKPR,LDZA,2,0.0907001820894077
BKPR,LBSF,2,0.054095713864859125
BKPR,LWSK,1,0.34794330070764035
BKPR,LATI,3,0.0737865534860122
BKPR,LDSP,1,0.3616220131155915
LBSF,LYTV,1,0.7320991331063615
LBSF,LBBG,6,0.263517999620011
LBSF,LQSA,3,0.3436193029046446
LBSF,LDDU,8,0.8199722329273519
LBSF,LDZA,2,0.46526741933854054
LBSF,BKPR,6,0.3587405751304907
LBSF,LWSK,5,0.2288582084894554
LBSF,LATI,3,0.1910378455693853
LBSF,LDSP,1,0.3694385333198382
LWSK,LYTV,2,0.019643184914232555
LWSK,LBBG,6,0.09350734290666107
LWSK,LQSA,4,0.08201185229051082
LWSK,LDDU,8,0.5737094932251932
LWSK,LDZA,6,0.010850712658517508
LWSK,BKPR,8,0.12692704070100375
LWSK,LBSF,1,0.13026131177307776
LWSK,LATI,7,0.002677665621932908
LWSK,LDSP,4,0.19802664076001497
LATI,LYTV,1,0.8570430835906468
LATI,LBBG,1,0.042862197380387296
LATI,LQSA,1,0.002501045983333957
LATI,LDDU,1,0.41725601595430883
LATI,LDZA,8,0.21334436037077967
LATI,BKPR,2,0.002158471035731618
LATI,LBSF,8,0.02113626823865889
LATI,LWSK,7,0.48153547583549483
LATI,LDSP,8,0.01616132078751173
LDSP,LYTV,1,0.8570214162807206
LDSP,LBBG,7,0.006090952815165123
LDSP,LQSA,1,0.03156502908540075
LDSP,LDDU,2,0.0004248731463566755
LDSP,LDZA,7,0.3484051246631604
LDSP,BKPR,6,0.4107454194475461
LDSP,LBSF,4,0.46632600246200173
LDSP,LWSK,2,0.02867264364215966
LDSP,LATI,6,0.05466080332258342
