source,target,best_lag,p_value
EDDM,EIDW,22,4.40959910459521e-19
EDDM,LFPG,20,4.848962030081534e-13
EDDM,LDDU,5,2.572085310864988e-12
EIDW,EDDM,21,1.5781025802655938e-11
EGKK,EDDM,19,8.438309533821285e-11
LFPG,EDDM,23,4.532649091358303e-10
LDDU,EDDM,22,6.158564860255569e-10
BKPR,LEBL,18,1.201631655171617e-09
LFPG,EIDW,22,1.6022547859555148e-09
EGLL,LYTV,5,8.43941993840465e-09
LFPG,EDDF,21,1.1811036561486177e-08
LFPG,BKPR,9,2.5024633565184438e-08
EDDF,EDDM,22,2.5575400619825297e-08
EDDM,EGKK,22,2.9079397629887948e-08
LFPG,EGKK,3,3.0582751500767936e-08
EDDF,LFPG,20,7.433338246004049e-08
EDDM,EDDF,22,9.034823789829465e-08
EDDM,LDSP,14,1.5823994586288176e-07
EDDF,LATI,5,2.460264091400084e-07
EIDW,LEMD,10,2.994679596006231e-07
