,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
LFPG,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1
EHAM,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0
EDDF,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0
LEMD,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
LEBL,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
EDDM,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1
EGKK,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
LIRF,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0
EIDW,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
LATI,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LQSA,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
LBSF,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LBBG,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
LDZA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
LDSP,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
LDDU,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
BKPR,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
LYTV,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LWSK,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0
