,EDDF,LIRF,LEMD,LFPG,EIDW,EGKK,EGLL,EDDM,EHAM,LEBL
EDDF,0,1,0,1,1,1,1,1,1,0
LIRF,1,0,0,0,1,0,0,1,0,0
LEMD,0,0,0,0,1,1,1,1,1,1
LFPG,0,0,1,0,1,1,1,1,1,0
EIDW,1,0,1,1,0,1,1,1,1,0
EGKK,0,0,1,1,1,0,0,1,0,0
EGLL,0,1,1,1,1,1,0,1,1,0
EDDM,0,1,0,1,1,1,1,0,1,0
EHAM,1,0,0,1,1,1,1,0,0,0
LEBL,1,1,1,1,1,1,1,1,0,0
