,LYTV,LBBG,LQSA,LDDU,LDZA,BKPR,LBSF,LWSK,LATI,LDSP
LYTV,0,0,1,0,0,1,1,0,0,1
LBBG,0,0,0,0,0,0,0,0,0,0
LQSA,1,1,0,0,0,1,0,1,1,1
LDDU,0,0,0,0,0,0,0,0,0,1
LDZA,1,0,0,0,0,1,0,0,1,1
BKPR,0,0,1,0,1,0,1,0,0,0
LBSF,0,0,0,0,1,0,0,0,0,0
LWSK,0,0,0,0,1,1,0,0,0,1
LATI,0,0,0,0,0,0,0,0,0,1
LDSP,0,0,1,1,0,0,0,0,0,0
