Distribution,Parameters,KS Statistic,P-value,AIC,BIC
Pearson Type III,"(np.float64(1.8052650274444475), np.float64(7.4640780190107465), np.float64(6.730264969624302))",0.029350200780050795,1.826153574238239e-06,48306.63986403783,48327.62349831281
Weibull,"(np.float64(1.1247903159575094), np.float64(0.013751658665852933), np.float64(7.778396942135551))",0.024842101314462517,9.407589051849035e-05,48312.12452993229,48333.10816420727
Exponential,"(0.016666666666666666, 7.447414898457211)",0.0569305109191528,3.8136528832802884e-23,48484.79996235809,48498.78905187474
Lognormal,"(np.float64(0.7465844373267827), -1.2182172451680353, np.float64(6.660123487287306))",0.04369911707460816,8.238543465948207e-14,48727.973968590864,48748.95760286584
Generalized Extreme Value,"(np.float64(-0.272942348368687), np.float64(4.136112513479349), np.float64(3.705484008291257))",0.04354314416399441,1.0261838204293217e-13,49038.035450626674,49059.01908490165
Normal,"(np.float64(7.464081565123878), np.float64(7.29167329720953))",0.15354223195549133,2.289312230771148e-166,54896.614624943875,54910.60371446052
Gamma,"(np.float64(0.04492162880928015), np.float64(0.016666666666666663), np.float64(3.0408495275311207))",0.8960631824426067,0.0,112863.60843044297,112884.59206471794
