Distribution,Parameters,KS Statistic,P-value,AIC,BIC
Pearson Type III,"(np.float64(1.8181823504351933), np.float64(18.884844743774295), np.float64(17.16130847681743))",0.02249318847058468,1.1368126441161388e-105,1880725.252461813,1880756.4107364728
Weibull,"(np.float64(1.0968962324200717), np.float64(0.014825478005068206), np.float64(19.566433831568986))",0.02656869211898416,2.864004481532589e-147,1882223.472140357,1882254.6304150168
Lognormal,"(np.float64(0.7912301673774587), -2.3203593568111587, np.float64(15.651549025150482))",0.023732734459025906,1.3655925615471795e-117,1884625.5681831338,1884656.7264577937
Exponential,"(0.016666666666666666, 18.868176110609962)",0.05726048633379696,0.0,1885645.8413417344,1885666.613524841
Generalized Extreme Value,"(np.float64(-0.3382933678173884), np.float64(9.96115333243285), np.float64(8.853602291551791))",0.0253515138523408,4.026328515398186e-134,1891585.6611174429,1891616.8193921028
Normal,"(np.float64(18.884842777276628), np.float64(19.21330664973444))",0.16304083472878755,0.0,2094954.4869370305,2094975.259120137
Gamma,"(np.float64(0.05929958334221178), np.float64(0.016666666666666663), np.float64(3.587394492110489))",0.910322059943387,0.0,4996493.247471202,4996524.405745862
