Distribution,Parameters,KS Statistic,P-value,AIC,BIC
Pearson Type III,"(np.float64(1.7251497544878367), np.float64(9.974220689811888), np.float64(8.623766815657476))",0.03014062743132251,4.70936852205015e-104,860641.2629130459,860670.6184275838
Exponential,"(0.016666666666666666, 9.957554719414633)",0.07570285921887882,0.0,866086.4901662682,866106.0605092935
Lognormal,"(np.float64(0.6548851694517566), -2.3717620837810323, np.float64(10.040895878295967))",0.03655738694942667,6.922858373940005e-153,867133.0336182239,867162.3891327617
Generalized Extreme Value,"(np.float64(-0.19854799977219198), np.float64(5.898571709440582), np.float64(5.085418999099058))",0.0370934515725706,2.162821064776193e-157,871303.0572645458,871332.4127790837
Normal,"(np.float64(9.9742213860813), np.float64(9.451497072490566))",0.14604619230854848,0.0,962396.3558227527,962415.926165778
Weibull,"(np.float64(0.3616942295452892), np.float64(0.016666666666666663), np.float64(1.1645811448380483))",0.5742366876915621,0.0,1111607.338045794,1111636.6935603318
Gamma,"(np.float64(0.012865540221585835), np.float64(0.016666666666666663), np.float64(3.226604315491194))",0.9580994033099338,0.0,2429500.110525664,2429529.466040202
