Distribution,Parameters,KS Statistic,P-value,AIC,BIC
Weibull,"(np.float64(0.9647622152928512), np.float64(0.016666666666666663), np.float64(11.846743479783672))",0.028879156895278424,1.4513738666161592e-111,1068093.5012124144,1068123.3232533175
Pearson Type III,"(np.float64(2.008162200517912), np.float64(12.038248457001188), np.float64(12.070643070892118))",0.02918395060443779,6.354641263328844e-114,1068806.8546602968,1068836.6767012
Exponential,"(0.016666666666666666, 11.994945701662308)",0.02841433274152183,5.142484148654716e-108,1068911.7009289255,1068931.5822895276
Lognormal,"(np.float64(0.9569799469284268), -0.7983318751125077, np.float64(8.29143896197024))",0.028820042762475573,4.134024387722824e-111,1070663.426574613,1070693.2486155161
Generalized Extreme Value,"(np.float64(-0.47649417311211784), np.float64(5.4042624217434705), np.float64(5.305482658826957))",0.03441084312455678,3.141703201445773e-158,1077470.110053245,1077499.9320941481
Normal,"(np.float64(12.011612368328976), np.float64(14.596230065804356))",0.20559997197122587,0.0,1257636.727837089,1257656.609197691
Gamma,"(np.float64(0.06735072675398729), np.float64(0.016666666666666663), np.float64(3.309591335796539))",0.8694747882807812,0.0,2483602.8821753026,2483632.704216206
