Distribution,Parameters,KS Statistic,P-value,AIC,BIC
Lognormal,"(np.float64(0.8891806072866388), -0.6249989123057647, np.float64(5.130607260973952))",0.03697692511860995,1.5353765577139781e-167,826178.2173401504,826207.7797068633
Pearson Type III,"(np.float64(2.020738764849842), np.float64(7.179065782213334), np.float64(7.236668771055687))",0.0353773112139234,2.1660713974786705e-153,830209.828320216,830239.390686929
Exponential,"(0.016666666666666666, 7.044181957349599)",0.029644329453239693,7.998319077345491e-108,830535.1859955278,830554.8942400031
Generalized Extreme Value,"(np.float64(-0.3989940965734098), np.float64(3.32960315723441), np.float64(3.1771608248021685))",0.040603251616220026,6.160210403492718e-202,831780.2416105319,831809.8039772449
Weibull,"(np.float64(0.3022642776762181), np.float64(0.016666666666666663), np.float64(0.5357677432835422))",0.579681480212422,0.0,1083899.0791338622,1083928.6415005752
Normal,"(np.float64(7.060848624016265), np.float64(14.928572740229566))",0.31851370410047547,0.0,1159690.4099671873,1159710.1182116626
Gamma,"(np.float64(0.00331880162544682), np.float64(0.016666666666666663), np.float64(3.0607790392806096))",0.9825838205770805,0.0,2616231.2918481994,2616260.8542149123
