Distribution,Parameters,KS Statistic,P-value,AIC,BIC
Pearson Type III,"(np.float64(1.965715258159089), np.float64(13.267606264106298), np.float64(13.024385785608139))",0.027374662480671774,3.1959298861093376e-88,966545.8157140528,966575.2514912853
Weibull,"(np.float64(0.9915032447803505), np.float64(0.016666666666666663), np.float64(13.196584133210855))",0.0276810283922595,3.374355202390114e-90,966560.338400935,966589.7741781676
Exponential,"(0.016666666666666666, 13.250910016734519)",0.02789267935640205,1.412367596132204e-91,966633.8305204532,966653.4543719415
Lognormal,"(np.float64(0.9092020987244528), -1.0700956821781757, np.float64(9.656842980813533))",0.02947928114606785,3.0455361537354647e-102,968618.4652558402,968647.9010330727
Generalized Extreme Value,"(np.float64(-0.43301922113286984), np.float64(6.2667474769049285), np.float64(5.996354302048136))",0.03212992775476098,2.2233025151242263e-121,974010.4785244088,974039.9143016413
Normal,"(np.float64(13.267576683401186), np.float64(15.339200793964848))",0.19383261590436163,0.0,1119092.055274525,1119111.6791260133
Gamma,"(np.float64(0.0787584256034218), np.float64(0.016666666666666663), np.float64(3.3657895311113233))",0.8658983267741499,0.0,2257238.9002633477,2257268.33604058
