Distribution,Parameters,KS Statistic,P-value,AIC,BIC
Pearson Type III,"(np.float64(1.8134286773426318), np.float64(12.0974408851159), np.float64(10.960211031860668))",0.019774298685908742,7.165452231057465e-05,91009.45654440628,91031.89122785757
Weibull,"(np.float64(1.1153819340027284), np.float64(0.014835172982412752), np.float64(12.587479913309892))",0.02084615102890386,2.293502035118532e-05,91041.59384720176,91064.02853065306
Exponential,"(0.016666666666666666, 12.080764228886169)",0.05939702341835024,1.5680468091396067e-40,91288.76829808802,91303.72475372221
Lognormal,"(np.float64(0.7749589215958973), -1.66962068721195, np.float64(10.330199282490868))",0.02767728601759989,3.9264758171848064e-09,91485.55149982854,91507.98618327983
Generalized Extreme Value,"(np.float64(-0.31693973153203786), np.float64(6.501118569751312), np.float64(5.806342128972386))",0.032013516250161356,4.4955716947746574e-12,91926.4776782064,91948.9123616577
Normal,"(np.float64(12.097430895552836), np.float64(11.476352619083471))",0.1462470878060585,1.7744689490211536e-244,100899.63480583491,100914.5912614691
Gamma,"(np.float64(0.2700572346837212), np.float64(0.016666666666666663), np.float64(3.261368073813821))",0.7532755494825633,0.0,174972.6644444145,174995.0991278658
