Distribution,Parameters,KS Statistic,P-value,AIC,BIC
Pearson Type III,"(np.float64(1.8511261527992362), np.float64(7.044356615436404), np.float64(6.509423345043839))",0.020574457974141425,9.539805795329041e-49,773494.6945108437,773524.0523780094
Exponential,"(0.016666666666666666, 7.0276581629805515)",0.04729350665563936,7.848539577030412e-256,775190.1093993867,775209.6813108304
Lognormal,"(np.float64(0.7802013229084342), -1.0117239385777417, np.float64(6.02651123753095))",0.036167516733309535,9.090369779836941e-150,779672.6429038384,779702.0007710041
Generalized Extreme Value,"(np.float64(-0.3081536769058367), np.float64(3.7742165794053886), np.float64(3.4391090235174744))",0.03796058098506638,6.01734610367277e-165,784904.7538083415,784934.1116755072
Normal,"(np.float64(7.044324829647218), np.float64(7.511945893920681))",0.1747573606746901,0.0,902794.5862469266,902814.1581583703
Weibull,"(np.float64(0.39997985231030486), np.float64(0.016666666666666663), np.float64(1.037133058991568))",0.5305395399934296,0.0,975532.9987795374,975562.3566467031
Gamma,"(np.float64(0.016816182767217098), np.float64(0.016666666666666663), np.float64(2.984337238691397))",0.9432611072091502,0.0,2056389.1722142189,2056418.5300813846
